Epoch,Training Loss,Validation Loss,F1,Roc Auc,Accuracy
0,0.113600,0.346429,0.538462,0.702446,0.654321
2,0.105300,0.313396,0.554217,0.717844,0.641975
4,0.093400,0.317459,0.556962,0.712862,0.666667
6,0.110500,0.347089,0.512195,0.695199,0.617284
8,0.086000,0.346691,0.595238,0.740489,0.666667
10,0.065700,0.369188,0.536585,0.707428,0.641975
12,0.046900,0.340752,0.584270,0.743659,0.641975
14,0.071200,0.389097,0.567901,0.721467,0.703704
16,0.071300,0.393394,0.575000,0.723279,0.691358
18,0.051100,0.387684,0.581395,0.736866,0.679012
20,0.021000,0.406512,0.604651,0.749094,0.691358
22,0.046300,0.381779,0.602151,0.760870,0.641975
24,0.057500,0.409391,0.600000,0.754076,0.641975
26,0.059400,0.402425,0.637363,0.776721,0.691358
28,0.037300,0.425288,0.593407,0.752264,0.654321
30,0.021500,0.435922,0.564706,0.726449,0.679012
32,0.046100,0.413195,0.627907,0.761322,0.703704
34,0.016000,0.405386,0.595238,0.740489,0.679012
36,0.013900,0.418744,0.611765,0.750906,0.691358
38,0.016400,0.423895,0.571429,0.728261,0.666667
40,0.018600,0.405362,0.630435,0.774909,0.691358
42,0.017300,0.424035,0.590909,0.745471,0.679012
44,0.012400,0.439569,0.547619,0.716033,0.654321
46,0.007800,0.455118,0.547619,0.716033,0.654321
48,0.024500,0.439740,0.581395,0.736866,0.679012
50,0.014500,0.448868,0.613636,0.757699,0.691358
52,0.006600,0.456101,0.581395,0.736866,0.666667
54,0.009800,0.434007,0.645833,0.792120,0.679012
56,0.008300,0.440264,0.584270,0.743659,0.654321
58,0.028900,0.444391,0.590909,0.745471,0.679012
60,0.015200,0.447394,0.581395,0.736866,0.679012
62,0.008900,0.446659,0.602151,0.760870,0.654321
64,0.010700,0.461617,0.574713,0.735054,0.666667
66,0.007400,0.471887,0.564706,0.726449,0.679012
68,0.013600,0.462567,0.574713,0.735054,0.666667
70,0.021300,0.469019,0.564706,0.726449,0.679012
72,0.013300,0.456259,0.568182,0.733243,0.654321
74,0.005100,0.468656,0.574713,0.735054,0.666667
76,0.005900,0.471622,0.558140,0.724638,0.666667
78,0.007200,0.473317,0.574713,0.735054,0.666667
80,0.017800,0.467866,0.568182,0.733243,0.654321
82,0.005100,0.467500,0.574713,0.735054,0.666667
84,0.015500,0.470090,0.574713,0.735054,0.666667
86,0.005400,0.472413,0.558140,0.724638,0.666667
88,0.005700,0.477283,0.574713,0.735054,0.666667
90,0.010700,0.480044,0.574713,0.735054,0.666667
92,0.016500,0.478897,0.574713,0.735054,0.666667
94,0.008100,0.478870,0.574713,0.735054,0.666667
95,0.004100,0.478857,0.574713,0.735054,0.666667
