Epoch,Training Loss,Validation Loss,F1,Roc Auc,Accuracy
0,0.462100,0.454666,0.455696,0.663949,0.592593
2,0.335000,0.339297,0.457143,0.655797,0.629630
4,0.337700,0.307587,0.513514,0.685236,0.654321
6,0.287800,0.297633,0.554217,0.717844,0.641975
8,0.308900,0.297733,0.518519,0.697011,0.641975
10,0.250700,0.299395,0.421053,0.644928,0.604938
12,0.227600,0.292646,0.422535,0.641757,0.654321
14,0.201200,0.291087,0.518519,0.697011,0.641975
16,0.244300,0.293799,0.523810,0.703804,0.641975
18,0.201500,0.290822,0.518519,0.697011,0.654321
20,0.170300,0.300623,0.481928,0.681159,0.629630
22,0.174000,0.291758,0.517647,0.701993,0.654321
24,0.167700,0.299455,0.475000,0.674366,0.654321
26,0.148100,0.297991,0.512195,0.695199,0.654321
28,0.165000,0.295298,0.505747,0.698370,0.629630
