
Epoch	Training Loss	Validation Loss	F1	Roc Auc	Exact Match Acc	Partial Acc	True Pos	True Neg	False Neg	False Pos
1	0.411700	0.312096	0.595122	0.762385	0.546584	0.871118	61	500	40	43
2	0.297400	0.284997	0.595745	0.748683	0.583851	0.881988	56	512	45	31
3	0.257200	0.295760	0.560000	0.719554	0.583851	0.880435	49	518	52	25
4	0.216500	0.323041	0.532544	0.701594	0.577640	0.877329	45	520	56	23
5	0.184500	0.335571	0.511111	0.697336	0.571429	0.863354	46	510	55	33
6	0.151900	0.378528	0.520231	0.697910	0.571429	0.871118	45	516	56	27
7	0.117700	0.380887	0.575472	0.755940	0.571429	0.860248	61	493	40	50
8	0.096300	0.437378	0.570000	0.743504	0.571429	0.866460	57	501	44	42
9	0.073200	0.437937	0.563107	0.743851	0.534161	0.860248	58	496	43	47
10	0.065500	0.476377	0.548077	0.736138	0.534161	0.854037	57	493	44	50
11	0.050000	0.501590	0.526882	0.709425	0.571429	0.863354	49	507	52	36
12	0.039900	0.561582	0.553991	0.743276	0.503106	0.852484	59	490	42	53
13	0.033400	0.570405	0.502674	0.696762	0.527950	0.855590	47	504	54	39
14	0.029500	0.555012	0.556098	0.738900	0.503106	0.858696	57	496	44	47
15	0.023500	0.553583	0.582524	0.755593	0.546584	0.866460	60	498	41	45
16	0.022300	0.579309	0.571429	0.741316	0.552795	0.869565	56	504	45	39
17	0.019900	0.593990	0.548387	0.721168	0.583851	0.869565	51	509	50	34
18	0.017900	0.597438	0.578199	0.756860	0.540373	0.861801	61	494	40	49
19	0.016500	0.615353	0.557692	0.742009	0.534161	0.857143	58	494	43	49
20	0.015600	0.616974	0.556098	0.738900	0.527950	0.858696	57	496	44	47
21	0.014800	0.619648	0.582160	0.760890	0.521739	0.861801	62	493	39	50
22	0.014100	0.654005	0.580645	0.763078	0.521739	0.858696	63	490	38	53
23	0.013100	0.651478	0.576744	0.759049	0.521739	0.858696	62	491	39	52
24	0.012500	0.645385	0.547264	0.730841	0.534161	0.858696	55	498	46	45
25	0.012600	0.643686	0.556701	0.731415	0.559006	0.866460	54	504	47	39
26	0.010800	0.658864	0.566038	0.750068	0.509317	0.857143	60	492	41	51
27	0.010900	0.672892	0.540816	0.723702	0.534161	0.860248	53	501	48	42
28	0.010100	0.665483	0.564356	0.741663	0.527950	0.863354	57	499	44	44
29	0.010300	0.663086	0.565657	0.739474	0.546584	0.866460	56	502	45	41
30	0.009200	0.664500	0.564356	0.741663	0.527950	0.863354	57	499	44	44
