Epoch	Training Loss	Validation Loss	F1	Roc Auc	Exact Match Acc	Partial Acc	True Pos	True Neg	False Neg	False Pos
1	0.418400	0.260062	0.597561	0.725256	0.734807	0.908840	49	609	56	10
2	0.193000	0.197474	0.727273	0.825894	0.756906	0.925414	72	598	33	21
3	0.137100	0.182408	0.752577	0.834695	0.790055	0.933702	73	603	32	16
4	0.097500	0.180690	0.778846	0.867944	0.801105	0.936464	81	597	24	22
5	0.067300	0.187695	0.800000	0.904339	0.801105	0.937845	90	589	15	30
6	0.047900	0.188790	0.792453	0.881422	0.790055	0.939227	84	596	21	23
7	0.034700	0.222721	0.762376	0.850512	0.790055	0.933702	77	599	28	20
8	0.023400	0.208678	0.790000	0.863266	0.817680	0.941989	79	603	26	16
9	0.018400	0.232518	0.788462	0.873513	0.801105	0.939227	82	598	23	21
10	0.015900	0.214952	0.787037	0.883760	0.784530	0.936464	85	593	20	26
11	0.011700	0.235648	0.792793	0.895623	0.795580	0.936464	88	590	17	29
12	0.010200	0.242937	0.792271	0.874321	0.817680	0.940608	82	599	23	20
13	0.009100	0.238021	0.792453	0.881422	0.801105	0.939227	84	596	21	23
14	0.008300	0.242576	0.803828	0.883845	0.823204	0.943370	84	599	21	20
15	0.008200	0.236304	0.807692	0.884653	0.823204	0.944751	84	600	21	19
16	0.007300	0.250433	0.790476	0.877467	0.812155	0.939227	83	597	22	22
17	0.006600	0.257732	0.792627	0.888522	0.806630	0.937845	86	593	19	26
18	0.006300	0.262264	0.801887	0.886991	0.823204	0.941989	85	597	20	22
19	0.006100	0.262245	0.794393	0.885376	0.817680	0.939227	85	595	20	24
20	0.006000	0.262393	0.798122	0.886184	0.823204	0.940608	85	596	20	23
21	0.005700	0.270332	0.790698	0.884568	0.812155	0.937845	85	594	20	25
22	0.005500	0.265239	0.798122	0.886184	0.817680	0.940608	85	596	20	23
23	0.005500	0.266203	0.796209	0.882229	0.812155	0.940608	84	597	21	22
24	0.005200	0.273990	0.805687	0.887799	0.828729	0.943370	85	598	20	21
25	0.005100	0.275583	0.796209	0.882229	0.817680	0.940608	84	597	21	22
26	0.005000	0.277516	0.801887	0.886991	0.828729	0.941989	85	597	20	22
27	0.005200	0.275617	0.801887	0.886991	0.823204	0.941989	85	597	20	22
28	0.004900	0.277318	0.801887	0.886991	0.828729	0.941989	85	597	20	22
29	0.004600	0.276208	0.801887	0.886991	0.823204	0.941989	85	597	20	22
30	0.004800	0.275984	0.798122	0.886184	0.823204	0.940608	85	596	20	23

