Epoch	Training Loss	Validation Loss	F1	Roc Auc	Exact Match Acc	Partial Acc	True Pos	True Neg	False Neg	False Pos
1	0.430100	0.236423	0.655367	0.764882	0.729282	0.915746	58	605	47	14
2	0.201300	0.195593	0.771186	0.901023	0.756906	0.925414	91	579	14	40
3	0.098800	0.178055	0.807512	0.891753	0.801105	0.943370	86	597	19	22
4	0.045600	0.214095	0.780952	0.871898	0.790055	0.936464	82	596	23	23
5	0.025100	0.198506	0.801843	0.894092	0.801105	0.940608	87	594	18	25
6	0.016200	0.227511	0.800000	0.875937	0.817680	0.943370	82	601	23	18
7	0.012200	0.230749	0.796209	0.882229	0.790055	0.940608	84	597	21	22
8	0.008600	0.238602	0.798077	0.879083	0.806630	0.941989	83	599	22	20
9	0.008400	0.255679	0.794258	0.878275	0.812155	0.940608	83	598	22	21
10	0.007500	0.248284	0.803828	0.883845	0.817680	0.943370	84	599	21	20
11	0.008900	0.260881	0.807882	0.877552	0.828729	0.946133	82	603	23	16
12	0.007000	0.259836	0.792271	0.874321	0.806630	0.940608	82	599	23	20
13	0.006000	0.274851	0.790476	0.877467	0.801105	0.939227	83	597	22	22
14	0.005500	0.292233	0.794393	0.885376	0.795580	0.939227	85	595	20	24
15	0.005900	0.290080	0.794258	0.878275	0.812155	0.940608	83	598	22	21
16	0.005000	0.304230	0.779343	0.875044	0.795580	0.935083	83	594	22	25
17	0.005100	0.290695	0.783019	0.875852	0.801105	0.936464	83	595	22	24
18	0.004500	0.298124	0.792453	0.881422	0.806630	0.939227	84	596	21	23
19	0.004700	0.286869	0.786730	0.876660	0.806630	0.937845	83	596	22	23
20	0.004500	0.294644	0.798122	0.886184	0.806630	0.940608	85	596	20	23
21	0.004300	0.296878	0.801887	0.886991	0.812155	0.941989	85	597	20	22
22	0.004300	0.300488	0.794258	0.878275	0.817680	0.940608	83	598	22	21
23	0.003900	0.305400	0.801932	0.879891	0.817680	0.943370	83	600	22	19
24	0.004000	0.309219	0.790476	0.877467	0.812155	0.939227	83	597	22	22
25	0.004000	0.311178	0.796117	0.875129	0.817680	0.941989	82	600	23	19
26	0.003800	0.309616	0.796209	0.882229	0.812155	0.940608	84	597	21	22
27	0.003800	0.308511	0.794258	0.878275	0.817680	0.940608	83	598	22	21
28	0.003600	0.310499	0.801887	0.886991	0.812155	0.941989	85	597	20	22
29	0.003600	0.311822	0.796209	0.882229	0.812155	0.940608	84	597	21	22
30	0.003500	0.312485	0.800000	0.883037	0.812155	0.941989	84	598	21	21
